id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
61878,MODERN LIVING AND FURNISHINGS,300211,Sasha,,District 2,32.8169,-96.82018,Entire home/apt,85,30,55,2023-12-30,0.34,1,307,2,
270936,1BR 1BA Oaklawn Condo Close to Downtown & Uptown,1417982,Robert,,District 14,32.81442,-96.81548,Entire home/apt,65,30,44,2021-12-04,0.40,1,82,0,
795703,Amazing location walk to Downtown Dallas,4191322,Michelle,,District 14,32.80327,-96.80976,Entire home/apt,243,30,70,2022-09-25,0.51,1,230,0,
826118,Far North Dallas -- Blue Room,804559,Rodney,,District 12,32.98825,-96.78926,Private room,62,14,27,2024-01-31,0.25,2,79,4,
826201,Far North Dallas -- Gray Room,804559,Rodney,,District 12,32.98853,-96.78903,Private room,54,30,32,2024-01-15,0.24,2,110,2,
860248,"Peaceful Home By the Lake: Safe, Cozy, Quiet",4505460,Judy,,District 9,32.85509,-96.70625,Private room,43,7,72,2023-09-30,0.76,3,135,4,
1154424,"Uptown, Charming Studio 1B,Fast Free WiFi Parking",6063232,Joan,,District 14,32.818684,-96.790154,Entire home/apt,89,3,94,2024-05-13,0.70,9,188,2,
1277933,The Santa Fe Suite and Maxfield Parrish Suite,6904484,C. F. Sandy,,District 11,32.92449,-96.79062,Private room,65,1,30,2019-11-09,0.34,1,322,0,
1479800,Sunny/MStreet/SMU/Trendy Greenville/Private Bath,3809024,Holly,,District 14,32.83103,-96.7638,Private room,95,2,102,2023-05-15,0.77,3,29,0,
1507428,"Uptown – Studio  #8, Free Fast WiFi Parking Cable",6063232,Joan,,District 14,32.81961,-96.78996,Entire home/apt,78,3,70,2024-05-27,0.53,9,151,2,
1826550,Private Room in Canton Townhouse,9557710,Jeff,,District 14,32.78112,-96.79165,Private room,79,1,636,2024-05-15,4.94,3,28,46,
1832427,Beautiful 3BR Canton Townhouse,9557710,Jeff,,District 2,32.77805,-96.79362,Entire home/apt,410,2,175,2024-06-03,1.39,3,114,18,
1856710,Sunny Bedroom/MStreet/SMU/Trendy Greenville Ave,3809024,Holly,,District 14,32.83531,-96.77386,Private room,95,2,43,2024-01-06,0.33,3,328,5,
2082487,"Uptown Spacious Studio #2, Free Fast WiFi Parking",6063232,Joan,,District 14,32.820461,-96.789574,Entire home/apt,89,3,61,2023-11-04,0.48,9,160,1,
2169463,The French House,11067935,Thierry,,District 13,32.90005,-96.84828,Private room,85,1,42,2022-04-03,0.34,1,358,0,
2537593,Victor's Old East Dallas Bedroom,12993311,Jan,,District 2,32.7991,-96.75911,Private room,55,5,58,2024-04-10,0.47,4,295,7,
2707172,"Queen, Walk in Shower-TV-- Internet",12321313,Judith,,District 12,32.99264,-96.83711,Private room,78,1,16,2023-11-17,0.15,2,365,2,
2762537,Safe Uptown Studio 7A Free Fast WIFI Private Entry,6063232,Joan,,District 14,32.81821,-96.78901,Entire home/apt,89,3,81,2023-12-29,0.66,9,156,2,
2800000,real Bohemian NYC-style Art loft!,7173761,Fred,,District 7,32.77919,-96.76883,Private room,150,1,328,2024-04-10,3.52,1,179,3,
2843930,Sunny/Quiet/MStreet/SMU/Trendy GreenvilleAve,3809024,Holly,,District 14,32.8355,-96.77328,Private room,95,2,45,2024-06-02,0.38,3,302,10,
2958951,"Beautiful 2-BR/BA House, close  to downtown.",885061,Roberto,,District 14,32.79452,-96.78482,Entire home/apt,126,30,32,2024-06-04,0.26,4,144,6,
2967263,Amber's first floor bedroom,12993311,Jan,,District 2,32.79924,-96.75774,Private room,70,5,49,2024-05-31,0.41,4,291,10,
2985692,"Uptown - 1 bd #6, Fast WiFi Parking Great Location",6063232,Joan,,District 14,32.81848,-96.78926,Entire home/apt,101,3,61,2024-04-14,0.50,9,163,4,
3003479,Beautiful 2 Bedroom & 2 Bath Near Uptown!,11801188,Rc,,District 2,32.80935,-96.81724,Entire home/apt,142,1,282,2024-04-30,2.37,1,302,15,
3143997,Queen Size Suite Mid Town Dallas Private Home,15962199,Teena,,District 13,32.9247,-96.82748,Private room,55,3,81,2024-05-19,0.92,1,59,14,
3199397,European Touch near White Rock Lake,16213597,Alicia,,District 9,32.81929,-96.70964,Private room,65,2,36,2018-06-04,0.30,1,1,0,
3230663,Lone Star Darling,413304,Debbie,,District 1,32.746212,-96.858727,Entire home/apt,122,3,101,2024-06-14,0.99,1,78,8,
3463371,"Uptown – Large 1 bd #1, Free Fast WiFi, Parking",6063232,Joan,,District 14,32.818684,-96.790154,Entire home/apt,101,3,39,2024-04-01,0.33,9,139,3,
3676585,Charming 'M Streets' Guest Cottage,6324192,Amy,,District 14,32.83104,-96.76606,Entire home/apt,97,2,337,2024-05-19,2.81,1,286,28,
4110844,"Bedroom w/Balcony--Walk in closet,",12321313,Judith,,District 12,32.99339,-96.83601,Private room,84,1,9,2020-09-04,0.08,2,365,0,
4311007,Walkable Dallas Urban Retreat By Downtown+KING Bed,14736042,Zagros,,District 14,32.81295,-96.76305,Entire home/apt,153,3,128,2024-06-03,1.09,1,339,20,
4311137,Zoë’s bird nest,12993311,Jan,,District 2,32.79756,-96.75751,Private room,55,5,39,2024-05-14,0.33,4,312,9,
4630130,Long Term Rental in North Dallas,22330135,Lisa,,District 12,32.99791,-96.80412,Entire home/apt,235,3,53,2023-10-16,0.47,1,354,3,
4671587,Beautiful 3 Story Townhome - Downtown Dallas,23751816,Blake,,District 2,32.78085,-96.79107,Entire home/apt,306,2,263,2024-05-26,2.26,2,307,9,
4725037,Single family 3 bed 2 baths,16468063,Danny,,District 12,32.99379,-96.87141,Entire home/apt,300,6,20,2021-08-08,0.26,4,364,0,
4833160,East Uptown Townhome w/ City View,9649521,Cory,,District 14,32.80127,-96.78623,Private room,68,30,321,2024-02-29,2.79,1,89,24,
4942190,Cozy Private Guesthouse 10 minutes from SMU & Lake,25470993,Joe,,District 9,32.85293,-96.74054,Entire home/apt,100,3,182,2024-05-06,2.44,3,225,11,
4979180,M Streets Modern Tudor with Backyard Oasis,10435889,Tiffaney,,District 14,32.83063,-96.77932,Entire home/apt,913,2,205,2024-06-02,1.82,2,320,17,
5019741,"3 Bed 2 Bath, Downtown Townhome, Modern & Peaceful",9761734,Michael,,District 14,32.79689,-96.78413,Entire home/apt,128,28,65,2023-09-13,0.57,1,307,2,
5608008,Guest Quarters/Studio Apartment,9954289,Mark,,District 1,32.74084,-96.86823,Entire home/apt,87,31,65,2024-02-08,0.59,1,228,3,
5692910,Blackbird Lofts,29514625,Lisa,,District 2,32.77722,-96.79086,Entire home/apt,325,5,176,2021-03-22,1.58,1,169,0,
6291070,"Pet friendly, high speed centrally located home!",484119371,Dre,,District 2,32.81832,-96.78003,Entire home/apt,314,3,35,2024-06-16,1.73,1,180,17,
6488857,King Bed Spa Bath Minutes From Downtown Dallas,32135472,Jamal,,District 9,32.84383,-96.67262,Entire home/apt,185,1,5,2023-07-06,0.24,1,175,1,
6913752,Condo 1500 sq ft  private sleeps 5 Master king bed,20618407,Valarie,,District 12,32.99496,-96.84095,Entire home/apt,95,20,39,2024-05-31,0.37,9,54,4,
7047741,Secluded Treasure in the Heart❤️ of the City,36887133,Vernon,,District 9,32.80841,-96.71194,Entire home/apt,91,3,549,2024-04-14,5.03,2,300,34,
7258293,Cozy Loft near Gexa Energy Pavillion,37999128,Mona,,District 5,32.76849,-96.69209,Entire home/apt,59,30,223,2024-05-18,2.06,1,113,4,
7601082,Dallas/Bishop Arts Farmhouse,3527030,Sean,,District 1,32.74994,-96.83263,Entire home/apt,175,2,172,2024-05-26,1.59,1,352,12,
7627921,N. Dallas Private room & bathroom,40014595,Carlos,,District 13,32.92284,-96.81189,Private room,46,14,33,2023-05-01,0.33,1,8,0,
7639838,Luxury In The City!,40088073,Andrea,,District 2,32.80595,-96.81825,Entire home/apt,333,1,1,2024-05-26,1,1,85,1,
7715777,The Best Dallas Has To Offer. Heated Pool/Spa!,24407447,Blake,,District 10,32.89608,-96.731537,Entire home/apt,568,2,266,2024-06-16,2.46,14,327,32,
7966111,* Nice New Home,42032525,Katie,,District 3,32.6916453,-96.9281838,Entire home/apt,149,3,15,2024-06-01,0.76,1,240,11,
8194959,Cozy Guest Home/UTSW/Market Center/Uptown,11394453,Jeff,,District 2,32.83716,-96.82378,Entire home/apt,127,3,408,2024-06-17,3.99,1,30,34,
8452797,Lovely home near White Rock Lake,27100767,Ally,,District 9,32.85106,-96.70795,Entire home/apt,175,30,93,2024-05-31,0.88,1,230,9,
8513649,The Purple House of Bishop Arts,13030399,Katrina,,District 1,32.74825,-96.82864,Entire home/apt,195,2,335,2024-06-13,3.22,5,166,43,
8568055,Private and Perfectly Located by Greenville Ave.,38961725,Theresa,,District 14,32.82246,-96.76485,Entire home/apt,77,7,47,2024-05-27,0.45,1,307,12,
8629270,Brentfield House,45385076,Alan,,District 12,32.97356,-96.78553,Entire home/apt,400,2,17,2023-11-05,0.30,1,177,2,
8716333,COZY 1 BEDROOM IN NORTH DALLAS,27296534,Katie,,District 11,32.95742,-96.8076,Private room,71,2,45,2018-04-06,0.43,1,365,0,
8731213,1000sf 2-story condo Knox/Henderson,45814261,Brian,,District 14,32.82166,-96.79399,Entire home/apt,165,30,27,2022-12-31,0.26,2,324,0,
